code,name,cyclone,earthquake,flood,tsunami,latency,station,highway,transport,safe_industrial_area,industrial_area
11002,SAPPORO,0.002,0.003123454,0.2399,0,59.5,106,10,1,20.9144,32.5
12025,HAKODATE,0.0035,0.00101618,0,0.557,27,33,1,1,5.0782,12.2
12033,OTARU,0.0016667,0.000564889,0,0.106,66.6,7,4,1,10.5906,15.5
12041,ASAHIKAWA,0.002,0.00048931,0.4851,0,69.7,21,1,1,9.0376,18
12050,MURORAN,0.0031667,0.002880912,0,0.909,27.8,7,1,1,0.9282,14
12068,KUSHIRO,0.0096667,0.074338191,0.0461,0.933,31.5,10,3,1,0,19.2
12076,OBIHIRO,0.0055,0.02146846,0.3047,0,29.9,3,2,1,4.8136,7
12084,KITAMI,0.0066667,0.00107804,0.1067,0,33.8,10,5,1,7.7782,8.7
12092,YUBARI,0.003,0.000473007,,,22,2,1,1,,
12106,IWAMIZAWA,0.0025,0.011530248,0.3333,0,68.7,7,1,1,5.7685,8.7
12114,ABASHIRI,0.005,0.007206783,0.1928,0.329,32.7,7,0,1,0.7067,1.9
12122,RUMOI,0.0021667,0.003481962,0.3359,0.327,67.5,5,4,1,0.9529,2.7
12131,TOMAKOMAI,0.0041667,0.018535997,0,0.467,28.7,9,6,1,37.0073,147
12149,WAKKANAI,0.0005,0.001614927,0,0.682,90.9,4,0,1,0.9525,4.2
12157,BIBAI,0.0023333,0.007877232,0.0599,0,67.6,4,1,1,2.9858,4.1
12165,ASHIBETSU,0.0025,0.000380392,0,0,57,3,0,1,1.9293,1.9
12173,EBETSU,0.002,0.01753313,0.4985,0,54.2,5,2,1,2.8347,5.7
12181,AKABIRA,0.0018333,0.001492559,0.1178,0,53.9,3,0,1,1.9928,2.3
12190,MOMBETSU,0.0026667,0.000299846,0.1185,0.362,70.4,0,0,0,1.9595,3.8
12203,SHIBETSU,0.0018333,0.000377525,0.0247,0,85.5,4,0,1,1.8811,1.9
12211,NAYORO,0.0013333,0.000708861,0.3457,0,80.3,7,5,1,2.0045,3.1
12220,MIKASA,0.0026667,0.000808323,,,39.9,0,1,1,,
12238,NEMURO,0.0186667,0.4061403,0,0.361,30,8,2,1,0,4.2
12246,CHITOSE,0.0031667,0.007193261,0.0211,0,31,6,3,1,0,3.1
12254,TAKIKAWA,0.002,0.007557306,0.4804,0,70.6,4,1,1,1.8697,3.6
12262,SUNAGAWA,0.0016667,0.005518246,0.5874,0,108.7,2,1,1,1.9604,4.8
12271,UTASHINAI,0.0018333,0.00060419,0,0,87.2,0,0,0,0.6093,0.6
12289,FUKAGAWA,0.0026667,0.003970015,0.8507,0,63.3,4,2,1,0.1794,1.2
12297,FURANO,0.003,0.003134293,0.5836,0,37.3,6,0,1,0.3769,0.9
12301,NOBORIBETSU,0.0033333,0.002478922,0,0.975,30.7,3,2,1,0.051,2.2
12319,ENIWA,0.0021667,0.007530704,0.0189,0,26.7,4,1,1,5.1035,2.1
12335,DATE,0.0031667,0.001752715,0,0.735,29.8,6,1,1,0.4619,2.2
12343,KITAHIROSHIMA,0.0015,0.006359622,0.0002,0,38.1,1,3,1,5.2592,4.6
12351,ISHIKARI,0.0023333,0.002210367,0.0466,0.039,59.6,0,0,0,14.7075,10.4
12360,HOKUTO,0.0035,0.001805036,0,0.784,32.7,9,6,1,0.7995,3.8
13030,TOBETSU,0.0025,0.006263911,0.0024,0,70.2,3,0,1,0.42,0.4
13048,SHINSHINOTSU,0.0018333,0.019965893,,,66,0,0,0,,
13315,MATSUMAE,0.0066667,0.00078817,,,30.7,0,0,0,,
13323,FUKUSHIMA,0.0043333,0.000334881,0,0.775,43.2,0,0,0,0.0224,0.2
13331,SHIRIUCHI,0.0041667,0.001187376,,,29.4,0,0,0,,
13340,KIKONAI,0.0038333,0.000492431,0,0.999,37.2,6,1,1,0.0003,0.3
13374,NANAE,0.0028333,0.001869828,0,0,27.5,8,3,1,0.0001,0
13439,SHIKABE,0.0033333,0.001418844,,,30.1,1,0,1,,
13455,MORI,0.0038333,0.000975037,0,0.815,24.8,14,2,1,0.2535,1.7
13463,YAKUMO,0.0048333,0.002568338,0,0.963,41.3,6,2,1,0.0288,1.1
13471,OSHAMAMBE,0.0035,0.015000534,0,0.962,74,8,2,1,0.0125,0.7
13617,ESASHI,0.0033333,0.002357097,0,0.381,34.7,0,0,0,0.2996,0.5
13625,KAMINOKUNI,0.0038333,0.000620132,,,27.8,0,0,0,,
13633,ASSABU,0.0041667,0.000496922,,,27,0,0,0,,
13641,OTOBE,0.0036667,0.000686204,,,29.4,0,0,0,,
13676,OKUSHIRI,0.0035,0.015607516,,,61.6,0,0,0,,
13706,IMAKANE,0.0033333,0.00374445,0.3216,0,77.6,0,0,0,0.1641,0.2
13714,SETANA,0.004,0.001958934,0.9595,0,82.5,0,0,0,0.0068,0.2
13919,SHIMAMAKI,0.0031667,0.003300654,,,25.8,0,0,0,,
13927,SUTTSU,0.002,0.009505196,,,128.5,0,0,0,,
13935,KUROMATSUNAI,0.0028333,0.008423336,,,45.8,2,2,1,,
13943,RANKOSHI,0.0026667,0.002798954,,,66.6,3,0,1,,
13951,NISEKO,0.0023333,0.000750266,,,73,1,0,1,,
13960,MAKKARI,0.0023333,0.000988948,,,79,0,0,0,,
13978,RUSUTSU,0.0026667,0.001033651,,,72.8,0,0,0,,
13986,KIMOBETSU,0.002,0.000732961,,,51.9,0,0,0,,
13994,KYOGOKU,0.0013333,0.000546537,,,49.5,0,0,0,,
14001,KUTCHAN,0.0015,0.001077642,0,0,88.3,2,0,1,0.5816,0.6
14010,KYOWA,0.0013333,0.00115606,0,0.38,57.2,1,0,1,0.3118,1.6
14028,IWANAI,0.002,0.001301242,0,0.451,58.2,0,0,0,0.5805,0.2
14036,TOMARI,0.0015,0.00022353,,,49.8,0,0,0,,
14044,KAMOENAI,0.0023333,0.000222868,,,25.7,0,0,0,,
14052,SHAKOTAN,0.0021667,0.00024327,,,49.2,0,0,0,,
14061,FURUBIRA,0.0018333,0.000194814,0,0.324,98.2,0,0,0,0.1224,0.2
14079,NIKI,0.0016667,0.000474203,,,44.1,3,0,1,,
14087,YOICHI,0.0016667,0.000749927,0,0.053,89.2,1,1,1,0.7925,1
14095,AKAIGAWA,0.0016667,0.000326219,,,85.6,0,0,0,,
14231,NAMPORO,0.0016667,0.025831519,0.9629,0,53.9,0,0,0,0.0404,1.1
14249,NAIE,0.002,0.003736819,0.4385,0,55.5,1,1,1,1.6836,1.4
14257,KAMISUNAGAWA,0.0016667,0.000617902,,,52.6,0,0,0,,
14273,YUNI,0.0021667,0.00632753,,,30,4,0,1,,
14281,NAGANUMA,0.0016667,0.021198693,0,0,35,0,0,0,0.6508,0.7
14290,KURIYAMA,0.0023333,0.005970245,0.4189,0,26.4,1,0,1,1.049,1.8
14303,TSUKIGATA,0.002,0.006593313,,,65.6,0,0,0,,
14311,URAUSU,0.0018333,0.006284152,,,83.8,0,0,0,,
14320,SHINTOTSUKAWA,0.0021667,0.003736198,0.8425,0,104.4,0,0,0,0.0722,0.5
14338,MOSEUSHI,0.002,0.017439692,,,35.7,1,0,1,,
14346,CHIPPUBETSU,0.0018333,0.011712795,,,84.2,2,1,1,,
14362,URYU,0.002,0.004419696,,,136.3,0,0,0,,
14371,HOKURYU,0.002,0.005720827,,,61.5,0,1,1,,
14389,NUMATA,0.0025,0.004218116,,,78.6,3,1,1,,
14524,TAKASU,0.0013333,0.000807998,0,0,53.5,0,1,1,0.251,0
14532,HIGASHIKAGURA,0.0015,0.000482614,0.1087,0,60.8,0,0,0,0.3408,0.4
14541,TOMA,0.0015,0.000304345,,,44.3,3,0,1,,
14559,PIPPU,0.0008333,0.000353786,,,48.4,4,1,1,,
14567,AIBETSU,0.0008333,0.00016609,,,41.9,4,2,1,,
14575,KAMIKAWA,0.003,0.000258987,0.1092,0,46.6,2,3,1,0.5091,0.6
14583,HIGASHIKAWA,0.0015,0.000353073,,,51.1,0,0,0,,
14591,BIEI,0.002,0.000392972,0.2176,0,69.5,3,0,1,0.5923,0.8
14605,KAMIFURANO,0.0016667,0.001727393,0,0,37.5,1,0,1,0.2765,0.3
14613,NAKAFURANO,0.0016667,0.006984409,,,41.4,3,0,1,,
14621,MINAMIFURANO,0.004,0.001598298,,,31.6,5,0,1,,
14630,SHIMUKAPPU,0.0038333,0.000450024,,,42,2,2,1,,
14648,WASSAMU,0.0011667,0.000408939,,,74.6,2,1,1,,
14656,KEMBUCHI,0.001,0.000959555,,,62,3,1,1,,
14681,SHIMOKAWA,0.0011667,0.000115357,0.6757,0,59.7,0,0,0,0.1058,0.3
14699,BIFUKA,0.0013333,0.000253288,0.1113,0,64.6,6,2,1,0.37,0.4
14702,OTOINEPPU,0.0008333,0.000195441,,,73.8,4,0,1,,
14711,NAKAGAWA,0.001,0.000795136,,,77.8,3,0,1,,
14729,HOROKANAI,0.0018333,0.000497887,,,112.6,0,0,0,,
14818,MASHIKE,0.0023333,0.000815183,,,139.1,0,0,0,,
14826,OBIRA,0.002,0.000976022,,,70.9,0,0,0,,
14834,TOMAMAE,0.0018333,0.000555579,,,119.6,0,0,0,,
14842,HABORO,0.0025,0.000492951,0,0.407,77.7,0,0,0,0.4566,0.9
